! Freq(MHz)     Int(K)
 99070.6049       0.00 
 99070.8489       0.00 
 99071.0929       0.00 
 99071.3369       0.00 
 99071.5809       0.00 
 99071.8249       0.00 
 99072.0689       0.00 
 99072.3129       0.00 
 99072.5569       0.00 
 99072.8009       0.00 
 99073.0449       0.00 
 99073.2889       0.00 
 99073.5329       0.00 
 99073.7769       0.00 
 99074.0209       0.00 
 99074.2649       0.00 
 99074.5089       0.00 
 99074.7529       0.00 
 99074.9969       0.00 
 99075.2409       0.00 
 99075.4849       0.00 
 99075.7289       0.00 
 99075.9729       0.00 
 99076.2169       0.00 
 99076.4609       0.00 
 99076.7049       0.00 
 99076.9489       0.00 
 99077.1929       0.00 
 99077.4369       0.00 
 99077.6809       0.00 
 99077.9249       0.00 
 99078.1689       0.00 
 99078.4129       0.00 
 99078.6569       0.00 
 99078.9009       0.00 
 99079.1449       0.00 
 99079.3889       0.00 
 99079.6329       0.00 
 99079.8769       0.00 
 99080.1209       0.00 
 99080.3649       0.00 
 99080.6089       0.00 
 99080.8529       0.00 
 99081.0969       0.00 
 99081.3409       0.00 
 99081.5849       0.00 
 99081.8289       0.00 
 99082.0729       0.00 
 99082.3169       0.00 
 99082.5609       0.00 
 99082.8049       0.00 
 99083.0489       0.00 
 99083.2929       0.00 
 99083.5369       0.00 
 99083.7809       0.00 
 99084.0249       0.00 
 99084.2689       0.00 
 99084.5129       0.00 
 99084.7569       0.00 
 99085.0009       0.00 
 99085.2449       0.00 
 99085.4889       0.00 
 99085.7329       0.00 
 99085.9769       0.00 
 99086.2209       0.00 
 99086.4649       0.00 
 99086.7089       0.00 
 99086.9529       0.00 
 99087.1969       0.00 
 99087.4409       0.00 
 99087.6849       0.00 
 99087.9289       0.00 
 99088.1729       0.00 
 99088.4169       0.00 
 99088.6609       0.00 
 99088.9049       0.00 
 99089.1489       0.00 
 99089.3929       0.00 
 99089.6369       0.00 
 99089.8809       0.00 
 99090.1249       0.00 
 99090.3689       0.00 
 99090.6129       0.00 
 99090.8569       0.00 
 99091.1009       0.00 
 99091.3449       0.00 
 99091.5889       0.00 
 99091.8329       0.00 
 99092.0769       0.00 
 99092.3209       0.00 
 99092.5649       0.00 
 99092.8089       0.00 
 99093.0529       0.00 
 99093.2969       0.00 
 99093.5409       0.00 
 99093.7849       0.00 
 99094.0289       0.00 
 99094.2729       0.00 
 99094.5169       0.00 
 99094.7609       0.00 
 99095.0049       0.00 
 99095.2489       0.00 
 99095.4929       0.00 
 99095.7369       0.00 
 99095.9809       0.00 
 99096.2249       0.00 
 99096.4689       0.00 
 99096.7129       0.00 
 99096.9569       0.00 
 99097.2009       0.00 
 99097.4449       0.00 
 99097.6889       0.00 
 99097.9329       0.00 
 99098.1769       0.00 
 99098.4209       0.00 
 99098.6649       0.00 
 99098.9089       0.00 
 99099.1529       0.00 
 99099.3969       0.00 
 99099.6409       0.00 
 99099.8849       0.00 
 99100.1289       0.00 
 99100.3729       0.00 
 99100.6169       0.00 
 99100.8609       0.00 
 99101.1049       0.00 
 99101.3489       0.00 
 99101.5929       0.00 
 99101.8369       0.00 
 99102.0809       0.00 
 99102.3249       0.00 
 99102.5689       0.00 
 99102.8129       0.00 
 99103.0569       0.00 
 99103.3009       0.00 
 99103.5449       0.00 
 99103.7889       0.00 
 99104.0329       0.00 
 99104.2769       0.00 
 99104.5209       0.00 
 99104.7649       0.00 
 99105.0089       0.00 
 99105.2529       0.00 
 99105.4969       0.00 
 99105.7409       0.00 
 99105.9849       0.00 
 99106.2289       0.00 
 99106.4729       0.00 
 99106.7169       0.00 
 99106.9609       0.00 
 99107.2049       0.00 
 99107.4489       0.00 
 99107.6929       0.00 
 99107.9369       0.00 
 99108.1809       0.00 
 99108.4249       0.00 
 99108.6689       0.00 
 99108.9129       0.00 
 99109.1569       0.00 
 99109.4009       0.00 
 99109.6449       0.00 
 99109.8889       0.00 
 99110.1329       0.00 
 99110.3769       0.00 
 99110.6209       0.00 
 99110.8649       0.00 
 99111.1089       0.00 
 99111.3529       0.00 
 99111.5969       0.00 
 99111.8409       0.00 
 99112.0849       0.00 
 99112.3289       0.00 
 99112.5729       0.00 
 99112.8169       0.00 
 99113.0609       0.00 
 99113.3049       0.00 
 99113.5489       0.00 
 99113.7929       0.00 
 99114.0369       0.00 
 99114.2809       0.00 
 99114.5249       0.00 
