! Freq(MHz)     Int(K)
 97337.0021       0.00 
 97337.2461       0.01 
 97337.4901       0.03 
 97337.7341       0.05 
 97337.9781       0.08 
 97338.2221       0.12 
 97338.4661       0.16 
 97338.7101       0.19 
 97338.9541       0.20 
 97339.1981       0.18 
 97339.4421       0.14 
 97339.6861       0.09 
 97339.9301       0.06 
 97340.1741       0.03 
 97340.4181       0.01 
 97340.6621       0.01 
 97340.9061       0.00 
 97341.1501       0.00 
 97341.3941       0.00 
 97341.6381       0.00 
 97341.8821       0.00 
 97342.1261       0.00 
 97342.3701       0.00 
 97342.6141       0.00 
 97342.8581       0.00 
 97343.1021       0.00 
 97343.3461       0.00 
 97343.5901       0.00 
 97343.8341       0.00 
 97344.0781       0.00 
 97344.3221       0.00 
 97344.5661       0.00 
 97344.8101       0.00 
 97345.0541       0.00 
 97345.2981       0.00 
 97345.5421       0.00 
 97345.7861       0.00 
 97346.0301       0.00 
 97346.2741       0.00 
 97346.5181       0.00 
 97346.7621       0.00 
 97347.0061       0.00 
 97347.2501       0.00 
 97347.4941       0.00 
 97347.7381       0.00 
 97347.9821       0.01 
 97348.2261       0.04 
 97348.4701       0.10 
 97348.7141       0.18 
 97348.9581       0.38 
 97349.2021       0.69 
 97349.4461       0.99 
 97349.6901       1.32 
 97349.9341       1.51 
 97350.1781       1.52 
 97350.4221       1.30 
 97350.6661       1.02 
 97350.9101       0.67 
 97351.1541       0.44 
 97351.3981       0.21 
 97351.6421       0.10 
 97351.8861       0.04 
 97352.1301       0.02 
 97352.3741       0.00 
 97352.6181       0.00 
 97352.8621       0.00 
 97353.1061       0.00 
 97353.3501       0.00 
 97353.5941       0.00 
 97353.8381       0.00 
 97354.0821       0.00 
 97354.3261       0.00 
 97354.5701       0.00 
 97354.8141       0.00 
 97355.0581       0.00 
 97355.3021       0.00 
 97355.5461       0.00 
 97355.7901       0.00 
 97356.0341       0.00 
 97356.2781       0.00 
 97356.5221       0.00 
 97356.7661       0.00 
 97357.0101       0.00 
 97357.2541       0.00 
 97357.4981       0.00 
 97357.7421       0.00 
 97357.9861       0.00 
 97358.2301       0.00 
 97358.4741       0.00 
 97358.7181       0.00 
 97358.9621       0.00 
 97359.2061       0.00 
 97359.4501       0.00 
 97359.6941       0.00 
 97359.9381       0.00 
 97360.1821       0.00 
 97360.4261       0.00 
 97360.6701       0.00 
 97360.9141       0.00 
 97361.1581       0.00 
 97361.4021       0.00 
 97361.6461       0.00 
 97361.8901       0.00 
 97362.1341       0.00 
 97362.3781       0.00 
 97362.6221       0.00 
 97362.8661       0.00 
 97363.1101       0.00 
 97363.3541       0.00 
 97363.5981       0.00 
 97363.8421       0.00 
 97364.0861       0.00 
 97364.3301       0.00 
 97364.5741       0.00 
 97364.8181       0.00 
 97365.0621       0.00 
 97365.3061       0.00 
 97365.5501       0.00 
 97365.7941       0.00 
 97366.0381       0.00 
 97366.2821       0.00 
 97366.5261       0.00 
 97366.7701       0.00 
 97367.0141       0.00 
 97367.2581       0.00 
 97367.5021       0.00 
 97367.7461       0.00 
 97367.9901       0.00 
 97368.2341       0.00 
 97368.4781       0.00 
 97368.7221       0.00 
 97368.9661       0.00 
 97369.2101       0.00 
 97369.4541       0.00 
 97369.6981       0.00 
 97369.9421       0.00 
 97370.1861       0.00 
 97370.4301       0.00 
 97370.6741       0.00 
 97370.9181       0.00 
 97371.1621       0.00 
 97371.4061       0.00 
 97371.6501       0.00 
 97371.8941       0.00 
 97372.1381       0.00 
 97372.3821       0.00 
 97372.6261       0.00 
 97372.8701       0.00 
 97373.1141       0.00 
 97373.3581       0.00 
 97373.6021       0.00 
 97373.8461       0.00 
 97374.0901       0.00 
 97374.3341       0.00 
 97374.5781       0.00 
 97374.8221       0.00 
 97375.0661       0.00 
 97375.3101       0.00 
 97375.5541       0.00 
 97375.7981       0.00 
 97376.0421       0.00 
 97376.2861       0.00 
 97376.5301       0.00 
 97376.7741       0.00 
 97377.0181       0.00 
 97377.2621       0.00 
 97377.5061       0.00 
 97377.7501       0.00 
 97377.9941       0.00 
 97378.2381       0.00 
 97378.4821       0.00 
 97378.7261       0.00 
 97378.9701       0.00 
 97379.2141       0.00 
 97379.4581       0.00 
 97379.7021       0.00 
 97379.9461       0.00 
 97380.1901       0.00 
 97380.4341       0.00 
 97380.6781       0.00 
 97380.9221       0.00 
 97381.1661       0.00 
 97381.4101       0.00 
 97381.6541       0.00 
 97381.8981       0.00 
 97382.1421       0.00 
 97382.3861       0.00 
 97382.6301       0.00 
 97382.8741       0.00 
 97383.1181       0.00 
 97383.3621       0.00 
 97383.6061       0.00 
 97383.8501       0.00 
 97384.0941       0.00 
 97384.3381       0.00 
 97384.5821       0.00 
 97384.8261       0.00 
 97385.0701       0.00 
 97385.3141       0.00 
 97385.5581       0.00 
 97385.8021       0.00 
 97386.0461       0.00 
 97386.2901       0.00 
 97386.5341       0.00 
 97386.7781       0.00 
 97387.0221       0.00 
 97387.2661       0.00 
 97387.5101       0.00 
 97387.7541       0.00 
 97387.9981       0.00 
 97388.2421       0.00 
 97388.4861       0.00 
 97388.7301       0.00 
 97388.9741       0.00 
 97389.2181       0.00 
 97389.4621       0.00 
 97389.7061       0.00 
 97389.9501       0.00 
 97390.1941       0.00 
 97390.4381       0.00 
 97390.6821       0.00 
 97390.9261       0.00 
 97391.1701       0.00 
 97391.4141       0.00 
 97391.6581       0.00 
 97391.9021       0.00 
 97392.1461       0.00 
 97392.3901       0.00 
 97392.6341       0.00 
 97392.8781       0.01 
 97393.1221       0.02 
 97393.3661       0.04 
 97393.6101       0.09 
 97393.8541       0.20 
 97394.0981       0.34 
 97394.3421       0.50 
 97394.5861       0.65 
 97394.8301       0.76 
 97395.0741       0.78 
 97395.3181       0.69 
 97395.5621       0.51 
 97395.8061       0.36 
 97396.0501       0.21 
 97396.2941       0.11 
 97396.5381       0.05 
 97396.7821       0.02 
 97397.0261       0.01 
 97397.2701       0.00 
 97397.5141       0.00 
 97397.7581       0.00 
 97398.0021       0.00 
 97398.2461       0.00 
 97398.4901       0.00 
 97398.7341       0.00 
 97398.9781       0.00 
 97399.2221       0.00 
 97399.4661       0.00 
 97399.7101       0.00 
 97399.9541       0.00 
 97400.1981       0.00 
 97400.4421       0.00 
 97400.6861       0.00 
 97400.9301       0.00 
 97401.1741       0.00 
 97401.4181       0.00 
 97401.6621       0.00 
 97401.9061       0.00 
 97402.1501       0.00 
 97402.3941       0.00 
 97402.6381       0.00 
 97402.8821       0.00 
 97403.1261       0.00 
 97403.3701       0.00 
 97403.6141       0.00 
 97403.8581       0.00 
 97404.1021       0.00 
 97404.3461       0.00 
 97404.5901       0.00 
 97404.8341       0.00 
 97405.0781       0.00 
 97405.3221       0.00 
 97405.5661       0.00 
